HTTrack3.48-22+htsswf+htsjava launched on Sun, 26 Feb 2017 09:46:26 at http://gameport.wiledia.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" http://gameport.wiledia.com/ -O1 "C:\Meus Sites\Gamestore" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/281/media (from gameport.wiledia.com/listings/new-super-mario-bros-2-3ds-marcobonanno-172)
10:00:28	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/resident-evil-4-gamecube-115 (from gameport.wiledia.com/listings/resident-evil-4-gamecube-andy-49)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/115/media (from gameport.wiledia.com/listings/resident-evil-4-gamecube-andy-49)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/202/media (from gameport.wiledia.com/listings/sonic-adventure-2-dreamcast-mummers-157)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/424/media (from gameport.wiledia.com/games/crash-bandicoot-n-sane-trilogy-ps4-424)
10:00:28	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/401/media (from gameport.wiledia.com/games/sonic-mania-ps4-401)
10:00:29	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/391/media (from gameport.wiledia.com/games/mario-kart-8-deluxe-switch-391)
10:00:29	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/257/media (from gameport.wiledia.com/games/sniper-ghost-warrior-3-pc-257)
10:00:30	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/177/media (from gameport.wiledia.com/games/tom-clancys-ghost-recon-wildlands-xboxone-177)
10:00:30	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/185/media (from gameport.wiledia.com/games/the-legend-of-zelda-breath-of-the-wild-switch-185)
10:00:30	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/297/media (from gameport.wiledia.com/games/for-honor-xboxone-297)
10:00:30	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/314/media (from gameport.wiledia.com/games/for-honor-ps4-314)
10:00:30	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/cover/1485987771-233.jpg (from gameport.wiledia.com/games)
10:00:30	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/180/media (from gameport.wiledia.com/games/resident-evil-7-biohazard-pc-180)
10:00:59	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/cover/1486222343-288.jpg (from gameport.wiledia.com/games?page=3)
10:00:59	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/paper-mario-color-splash-wii-u-402 (from gameport.wiledia.com/games?page=3)
